original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,normal_r,normal_rall,power,rbi,playoff,champion,season_rank
한화,HH,한화,HH,1999,이희수,132,2,1,72,58,0.554,4.5,,0.283,0.484,0.353,0.837,731,197,701,5.31,4.88,0.261,-0.124,0.192,,1,1,2
롯데,LT,롯데,LT,1999,김명성,132,5,1,75,52,0.591,0,,0.291,0.461,0.363,0.824,753,145,590,4.47,4.18,0.541,-1.568,1.055,,1,2,2
삼성,SS,삼성,SS,1999,"서정환, 김용희",132,2,2,73,57,0.562,3.5,,0.273,0.46,0.352,0.812,748,207,748,5.67,5.16,0.478,0.488,-0.005,,1,0,1
두산,DS,두산,DS,1999,김인식,132,5,2,76,51,0.598,-1,,0.284,0.438,0.355,0.793,721,141,657,4.98,4.58,0.134,-0.696,0.415,,1,0,1
현대,HD,현대,HD,1999,김재박,132,5,3,68,59,0.535,7,,0.272,0.418,0.359,0.777,699,143,646,4.89,4.47,-0.147,-0.839,0.346,,0,0,3
LG,LG,LG,LG,1999,천보성,132,1,3,61,70,0.466,16,,0.281,0.442,0.35,0.792,744,145,773,5.86,5.49,0.427,0.813,-0.193,,0,0,3
해태,HT,KIA,KA,1999,김응용,132,3,4,60,69,0.465,16,,0.278,0.466,0.362,0.828,765,210,743,5.63,5.21,0.694,0.423,0.136,,0,0,4
쌍방울,SB,쌍방울,SB,1999,"김성근, 김준환",132,7,4,28,97,0.224,46,,0.248,0.358,0.319,0.677,523,86,826,6.26,5.85,-2.389,1.503,-1.946,,0,0,4
현대,HD,현대,HD,2000,김재박,133,2,1,91,40,0.695,0,,0.278,0.483,0.365,0.848,777,208,528,3.97,3.64,1.515,-1.356,1.436,,1,1,1
LG,LG,LG,LG,2000,이광은,133,3,1,67,63,0.515,23.5,,0.273,0.414,0.356,0.77,687,122,631,4.74,4.45,0.218,-0.385,0.302,,1,0,1
롯데,LT,롯데,LT,2000,김명성,133,4,2,65,64,0.504,25,,0.26,0.385,0.334,0.719,603,104,579,4.35,4.02,-0.993,-0.875,-0.059,,1,0,2
두산,DS,두산,DS,2000,김인식,133,0,2,76,57,0.571,16,,0.289,0.441,0.359,0.8,694,150,616,4.63,4.22,0.319,-0.527,0.423,,1,2,2
한화,HH,한화,HH,2000,"이희수, 이광환",133,5,3,50,78,0.391,39.5,,0.276,0.457,0.346,0.803,680,180,776,5.83,5.24,0.117,0.981,-0.432,,0,0,3
삼성,SS,삼성,SS,2000,"김용희, 김응용",133,5,3,69,59,0.539,20.5,,0.269,0.447,0.348,0.795,744,177,670,5.04,4.64,1.04,-0.018,0.529,,1,0,3
해태,HT,KIA,KA,2000,김응용,133,4,4,57,72,0.442,33,,0.252,0.363,0.333,0.696,588,86,728,5.47,4.95,-1.209,0.529,-0.869,,0,0,4
SK,SK,SK,SK,2000,강병철,133,3,4,44,86,0.338,46.5,,0.26,0.383,0.332,0.715,602,105,847,6.37,5.99,-1.007,1.651,-1.329,,0,0,4
두산,DS,두산,DS,2001,김인식,133,5,1,65,63,0.508,0,,0.276,0.421,0.359,0.78,732,130,733,5.51,4.96,0.922,0.943,-0.01,,1,1,3
삼성,SS,삼성,SS,2001,김응용,133,0,2,81,52,0.609,-13.5,,0.277,0.447,0.36,0.807,739,162,644,4.84,4.39,1.07,-0.938,1.004,,1,2,1
현대,HD,현대,HD,2001,김재박,133,4,3,72,57,0.558,-6.5,,0.268,0.429,0.362,0.791,711,169,628,4.72,4.34,0.478,-1.276,0.877,,1,0,2
한화,HH,한화,HH,2001,이광환,133,4,4,61,68,0.473,4.5,,0.275,0.426,0.357,0.783,659,148,733,5.51,4.82,-0.621,0.943,-0.782,,1,0,4
KIA,KA,KIA,KA,2001,김성한,133,5,5,60,68,0.469,5,,0.278,0.428,0.353,0.781,683,142,727,5.47,5.01,-0.114,0.816,-0.465,,0,0,5
LG,LG,LG,LG,2001,"이광은, 김성근",133,8,6,58,67,0.464,5.5,,0.276,0.391,0.363,0.754,669,85,732,5.5,5.09,-0.41,0.922,-0.666,,0,0,6
SK,SK,SK,SK,2001,강병철,133,2,7,60,71,0.458,6.5,,0.26,0.391,0.337,0.728,596,113,640,4.81,4.38,-1.953,-1.022,-0.465,,0,0,7
롯데,LT,롯데,LT,2001,"김명성, 우용득",133,4,8,59,70,0.457,6.5,,0.28,0.425,0.365,0.79,718,121,670,5.04,4.68,0.626,-0.388,0.507,,0,0,8
삼성,SS,삼성,SS,2002,김응용,133,4,1,82,47,0.636,0,2승,0.284,0.472,0.36,0.832,777,191,581,4.37,3.92,1.829,-0.671,1.25,,1,1,1
LG,LG,LG,LG,2002,김성근,133,6,2,66,61,0.52,15,1승,0.261,0.385,0.332,0.717,583,100,575,4.32,3.93,-0.382,-0.785,0.202,,1,2,4
KIA,KA,KIA,KA,2002,김성한,133,4,3,78,51,0.605,4,2패,0.269,0.402,0.344,0.746,643,120,580,4.36,3.92,0.302,-0.69,0.496,,1,0,2
현대,HD,현대,HD,2002,김재박,133,5,4,70,58,0.547,11.5,1패,0.261,0.432,0.342,0.774,658,173,614,4.62,4.23,0.473,-0.047,0.26,,1,0,3
두산,DS,두산,DS,2002,김인식,133,2,5,66,65,0.504,17,2패,0.261,0.396,0.331,0.727,587,130,562,4.23,3.93,-0.336,-1.031,0.347,,0,0,5
SK,SK,SK,SK,2002,강병철,133,3,6,61,69,0.469,21.5,3승,0.27,0.433,0.339,0.772,618,158,638,4.8,4.47,0.017,0.407,-0.195,,0,0,6
한화,HH,한화,HH,2002,이광환,133,5,7,59,69,0.461,22.5,1승,0.256,0.42,0.328,0.748,603,170,672,5.05,4.79,-0.154,1.049,-0.602,,0,0,7
롯데,LT,롯데,LT,2002,"우용득, 김용희, 백인천",133,1,8,35,97,0.265,48.5,1패,0.245,0.355,0.305,0.66,463,85,710,5.34,4.72,-1.749,1.768,-1.758,,0,0,8
현대,HD,현대,HD,2003,김재박,133,2,1,80,51,0.611,0,,0.286,-,-,0,723,175,627,4.71,4.13,1.074,0.2,0.437,,1,1,1
SK,SK,SK,SK,2003,조범현,133,3,2,66,64,0.508,13.5,,0.272,-,-,0,644,156,642,4.83,4.44,0.276,0.49,-0.107,,1,2,4
KIA,KA,KIA,KA,2003,김성한,133,5,3,78,50,0.609,0.5,,0.272,-,-,0,657,129,527,3.96,3.62,0.407,-1.732,1.07,,1,0,2
삼성,SS,삼성,SS,2003,김응용,133,4,4,76,53,0.589,3,,0.284,-,-,0,769,213,613,4.61,4.37,1.538,-0.07,0.804,,1,0,3
한화,HH,한화,HH,2003,유승안,133,5,5,63,65,0.492,15.5,,0.254,-,-,0,577,121,617,4.64,4.37,-0.4,0.007,-0.204,,0,0,5
LG,LG,LG,LG,2003,이광환,133,2,6,60,71,0.458,20,,0.249,-,-,0,509,106,579,4.35,3.98,-1.086,-0.727,-0.18,,0,0,6
두산,DS,두산,DS,2003,김인식,133,2,7,57,74,0.435,23,,0.276,-,-,0,563,90,619,4.65,4.24,-0.541,0.046,-0.294,,0,0,7
롯데,LT,롯데,LT,2003,"백인천, 김용철, 양상문",133,3,8,39,91,0.3,40.5,,0.256,-,-,0,491,73,709,5.33,5.01,-1.268,1.785,-1.526,,0,0,8
현대,HD,현대,HD,2004,김재박,133,5,1,75,53,0.586,0,,0.275,-,-,0,692,134,590,4.44,4.06,1.419,-0.557,0.988,,1,1,1
삼성,SS,삼성,SS,2004,"김응용, 선동열",133,8,2,73,52,0.584,0.5,,0.269,-,-,0,641,132,564,4.24,3.76,0.359,-0.986,0.672,,1,2,2
두산,DS,두산,DS,2004,김경문,133,1,3,70,62,0.53,7,,0.268,-,-,0,606,89,560,4.21,3.88,-0.369,-1.052,0.341,,1,0,3
KIA,KA,KIA,KA,2004,김성한,133,5,4,67,61,0.523,8,,0.267,-,-,0,643,143,637,4.79,4.51,0.4,0.219,0.091,,1,0,4
SK,SK,SK,SK,2004,조범현,133,8,5,61,64,0.488,12.5,,0.272,-,-,0,655,138,644,4.84,4.4,0.65,0.334,0.158,,0,0,5
LG,LG,LG,LG,2004,이순철,133,4,6,59,70,0.457,16.5,,0.259,-,-,0,588,102,637,4.79,4.31,-0.743,0.219,-0.481,,0,0,6
한화,HH,한화,HH,2004,"유승안, 김인식",133,6,7,53,74,0.417,21.5,,0.268,-,-,0,632,140,750,5.64,5.21,0.171,2.083,-0.956,,0,0,7
롯데,LT,롯데,LT,2004,양상문,133,11,8,50,72,0.41,22,,0.252,-,-,0,533,88,608,4.57,4.22,-1.886,-0.26,-0.813,,0,0,8
삼성,SS,삼성,SS,2005,선동열,126,4,1,74,48,0.607,0,,0.268,-,-,0,614,111,528,4.19,3.83,0.868,-0.636,0.752,,1,1,1
두산,DS,두산,DS,2005,김경문,126,3,2,72,51,0.585,2.5,,0.27,-,-,0,596,63,465,3.69,3.42,0.431,-1.434,0.933,,1,2,2
SK,SK,SK,SK,2005,조범현,126,6,3,70,50,0.583,3,,0.269,-,-,0,589,122,485,3.85,3.41,0.261,-1.181,0.721,,1,0,3
한화,HH,한화,HH,2005,김인식,126,1,4,64,61,0.512,11.5,,0.27,-,-,0,622,159,603,4.79,4.41,1.062,0.313,0.374,,1,0,4
롯데,LT,롯데,LT,2005,양상문,126,1,5,58,67,0.464,17.5,,0.253,-,-,0,500,83,573,4.55,4.3,-1.899,-0.066,-0.916,,0,0,5
LG,LG,LG,LG,2005,이순철,126,1,6,54,71,0.432,21.5,,0.26,-,-,0,601,105,666,5.29,4.9,0.552,1.111,-0.28,,0,0,6
현대,HD,현대,HD,2005,김재박,126,3,7,53,70,0.431,21.5,,0.256,-,-,0,563,134,647,5.13,4.68,-0.37,0.871,-0.62,,0,0,7
KIA,KA,KIA,KA,2005,유남호,126,1,8,49,76,0.392,26.5,,0.26,-,-,0,541,99,659,5.23,4.81,-0.904,1.023,-0.963,,0,0,8
삼성,SS,삼성,SS,2006,선동열,126,3,1,73,50,0.593,0,,0.255,-,-,0,538,73,471,3.74,3.33,1.165,-0.587,0.876,,1,1,1
현대,HD,현대,HD,2006,김재박,126,1,2,70,55,0.56,4,,0.27,-,-,0,547,92,467,3.71,3.41,1.425,-0.676,1.05,,1,0,2
한화,HH,한화,HH,2006,김인식,126,2,3,67,57,0.54,6.5,,0.253,-,-,0,511,110,475,3.77,3.35,0.386,-0.499,0.443,,1,2,3
KIA,KA,KIA,KA,2006,서정환,126,3,4,64,59,0.52,9,,0.255,-,-,0,476,62,451,3.58,3.33,-0.624,-1.029,0.202,,1,0,4
두산,DS,두산,DS,2006,김경문,126,3,5,63,60,0.512,10,,0.258,-,-,0,455,55,467,3.71,3.36,-1.23,-0.676,-0.277,,0,0,5
SK,SK,SK,SK,2006,조범현,126,1,6,60,65,0.48,14,,0.254,-,-,0,509,99,535,4.25,3.8,0.328,0.825,-0.248,,0,0,6
롯데,LT,롯데,LT,2006,강병철,126,3,7,50,73,0.407,23,,0.25,-,-,0,488,88,541,4.29,3.86,-0.278,0.957,-0.617,,0,0,7
LG,LG,LG,LG,2006,"이순철, 양승호",126,4,8,47,75,0.385,25.5,,0.246,-,-,0,457,81,574,4.56,4.22,-1.172,1.685,-1.429,,0,0,8
SK,SK,SK,SK,2007,김성근,126,5,1,73,48,0.603,0,,0.264,-,-,0,603,112,465,3.69,3.24,1.789,-1.181,1.485,,1,1,1
두산,DS,두산,DS,2007,김경문,126,2,2,70,54,0.565,4.5,,0.263,-,-,0,578,78,480,3.81,3.44,1.098,-0.94,1.019,,1,2,2
한화,HH,한화,HH,2007,김인식,126,2,3,67,57,0.54,7.5,,0.254,-,-,0,534,104,481,3.82,3.54,-0.117,-0.923,0.403,,1,0,3
삼성,SS,삼성,SS,2007,선동열,126,4,4,62,60,0.508,11.5,,0.254,-,-,0,497,86,509,4.04,3.71,-1.14,-0.472,-0.334,,1,0,4
LG,LG,LG,LG,2007,김재박,126,6,5,58,62,0.483,14.5,,0.268,-,-,0,532,78,600,4.76,4.33,-0.173,0.996,-0.584,,0,0,5
현대,HD,현대,HD,2007,김시진,126,1,6,56,69,0.448,19,,0.271,-,-,0,530,96,615,4.88,4.41,-0.228,1.238,-0.733,,0,0,6
롯데,LT,롯데,LT,2007,강병철,126,3,7,55,68,0.447,19,,0.27,-,-,0,533,76,554,4.4,4.12,-0.145,0.254,-0.2,,0,0,7
KIA,KA,KIA,KA,2007,서정환,126,1,8,51,74,0.408,24,,0.257,-,-,0,499,73,602,4.78,4.49,-1.085,1.028,-1.056,,0,0,8
SK,SK,SK,SK,2008,김성근,126,0,1,83,43,0.659,0,,0.282,-,-,0,632,89,461,3.66,3.22,0.971,-1.78,1.375,,1,1,1
두산,DS,두산,DS,2008,김경문,126,0,2,70,56,0.556,13,,0.276,-,-,0,647,68,542,4.3,3.89,1.189,-0.397,0.793,,1,2,2
롯데,LT,롯데,LT,2008,제리 로이스터,126,0,3,69,57,0.548,14,,0.282,-,-,0,624,93,518,4.11,3.64,0.854,-0.807,0.831,,1,0,3
삼성,SS,삼성,SS,2008,선동열,126,0,4,65,61,0.516,18,,0.258,-,-,0,557,92,596,4.73,4.4,-0.12,0.525,-0.323,,1,0,4
한화,HH,한화,HH,2008,김인식,126,0,5,64,62,0.508,19,,0.254,-,-,0,592,120,595,4.72,4.43,0.389,0.508,-0.059,,0,0,5
KIA,KA,KIA,KA,2008,조범현,126,0,6,57,69,0.452,26,,0.26,-,-,0,503,48,555,4.4,4.08,-0.905,-0.175,-0.365,,0,0,6
넥센,NS,넥센,NS,2008,이광환,126,0,7,50,76,0.397,33,,0.266,-,-,0,499,70,609,4.83,4.43,-0.963,0.747,-0.855,,0,0,7
LG,LG,LG,LG,2008,김재박,126,0,8,46,80,0.365,37,,0.256,-,-,0,468,66,646,5.13,4.85,-1.414,1.379,-1.397,,0,0,8
KIA,KA,KIA,KA,2009,조범현,133,4,1,81,48,0.609,0,7승,0.267,0.427,0.357,0.784,706,156,581,4.37,3.92,0.603,-1.175,0.889,,1,1,1
SK,SK,SK,SK,2009,김성근,133,6,2,80,47,0.602,0,19승,0.285,0.453,0.369,0.822,732,166,550,4.14,3.67,1.407,-1.52,1.464,,1,2,2
두산,DS,두산,DS,2009,김경문,133,2,3,71,60,0.534,11,2패,0.28,0.42,0.362,0.782,722,120,662,4.98,4.6,1.098,-0.273,0.685,,1,0,3
롯데,LT,롯데,LT,2009,제리 로이스터,133,0,4,66,67,0.496,17,2패,0.277,0.423,0.35,0.773,637,121,669,5.03,4.75,-1.531,-0.195,-0.668,,1,0,4
삼성,SS,삼성,SS,2009,선동열,133,0,5,64,69,0.481,19,4패,0.275,0.432,0.364,0.796,685,146,700,5.26,4.98,-0.046,0.15,-0.098,,0,0,5
넥센,NS,넥센,NS,2009,김시진,133,1,6,60,72,0.451,22.5,3패,0.272,0.434,0.356,0.79,683,153,762,5.73,5.4,-0.108,0.841,-0.475,,0,0,6
LG,LG,LG,LG,2009,김재박,133,4,7,54,75,0.406,27,2승,0.278,0.413,0.36,0.773,670,129,763,5.74,5.42,-0.51,0.852,-0.681,,0,0,7
한화,HH,한화,HH,2009,김인식,133,3,8,46,84,0.346,35.5,2승,0.269,0.426,0.348,0.774,657,164,805,6.05,5.7,-0.912,1.32,-1.116,,0,0,8
SK,SK,SK,SK,2010,김성근,133,2,1,84,47,0.632,0,1승,0.274,0.412,0.355,0.767,704,120,545,4.1,3.71,0.515,-1.529,1.022,,1,1,1
삼성,SS,삼성,SS,2010,"선동열, 류중일",133,2,2,79,52,0.594,5,1승,0.272,0.406,0.368,0.774,681,118,575,4.32,3.94,0.229,-1.139,0.684,,1,2,2
두산,DS,두산,DS,2010,김경문,133,3,3,73,57,0.549,10.5,1패,0.281,0.44,0.365,0.805,731,149,669,5.03,4.62,0.852,0.083,0.384,,1,0,3
롯데,LT,롯데,LT,2010,제리 로이스터,133,3,4,69,61,0.519,14.5,4승,0.288,0.461,0.352,0.813,773,185,710,5.34,4.82,1.375,0.616,0.38,,1,0,4
KIA,KA,KIA,KA,2010,조범현,133,0,5,59,74,0.444,26,3패,0.26,0.383,0.347,0.73,611,106,641,4.82,4.39,-0.643,-0.281,-0.181,,0,0,5
LG,LG,LG,LG,2010,박종훈,133,5,6,57,71,0.429,25.5,1패,0.276,0.411,0.349,0.76,688,121,746,5.61,5.23,0.316,1.084,-0.384,,0,0,6
넥센,NS,넥센,NS,2010,김시진,133,3,7,52,78,0.391,31.5,2패,0.262,0.374,0.34,0.714,570,87,652,4.9,4.55,-1.154,-0.138,-0.508,,0,0,7
한화,HH,한화,HH,2010,한대화,133,2,8,49,82,0.368,35,2승,0.244,0.359,0.331,0.69,543,104,763,5.74,5.43,-1.49,1.305,-1.398,,0,0,8
삼성,SS,삼성,SS,2011,류중일,133,4,1,79,50,0.612,0,1승,0.259,0.376,0.343,0.719,625,95,513,3.86,3.35,0.382,-1.333,0.858,,1,1,1
롯데,LT,롯데,LT,2011,양승호,133,5,2,72,56,0.563,6.5,4승,0.288,0.422,0.358,0.78,713,111,619,4.65,4.2,1.894,0.241,0.826,,1,0,2
SK,SK,SK,SK,2011,김성근,133,3,3,71,59,0.546,8.5,2승,0.263,0.385,0.34,0.725,584,100,522,3.92,3.59,-0.322,-1.199,0.439,,1,2,3
KIA,KA,KIA,KA,2011,조범현,133,0,4,70,63,0.526,11,2패,0.269,0.395,0.357,0.752,627,106,580,4.36,4.1,0.417,-0.338,0.377,,1,0,4
두산,DS,두산,DS,2011,"김경문, 김광수",133,2,5,61,70,0.466,19,5승,0.271,0.388,0.354,0.742,614,92,619,4.65,4.26,0.193,0.241,-0.024,,0,0,5
LG,LG,LG,LG,2011,박종훈,133,2,6,59,72,0.45,21,1패,0.266,0.377,0.338,0.715,579,94,620,4.66,4.15,-0.408,0.256,-0.332,,0,0,6
한화,HH,한화,HH,2011,한대화,133,2,6,59,72,0.45,21,3패,0.255,0.362,0.338,0.7,568,93,727,5.47,5.11,-0.597,1.846,-1.221,,0,0,6
넥센,NS,넥센,NS,2011,김시진,133,2,8,51,80,0.389,29,4패,0.245,0.353,0.323,0.676,512,79,622,4.68,4.36,-1.559,0.286,-0.922,,0,0,8
삼성,SS,삼성,SS,2012,류중일,133,2,1,80,51,0.611,0,1승,0.272,0.389,0.353,0.742,628,89,473,3.56,3.39,2.097,-1.436,1.766,,1,1,1
SK,SK,SK,SK,2012,이만수,133,3,2,71,59,0.546,8.5,1승,0.258,0.384,0.333,0.717,564,108,528,3.97,3.82,0.43,-0.376,0.403,,1,2,2
두산,DS,두산,DS,2012,김진욱,133,3,3,68,62,0.523,11.5,1패,0.26,0.352,0.322,0.674,524,59,519,3.9,3.58,-0.612,-0.549,-0.032,,1,0,3
롯데,LT,롯데,LT,2012,"양승호, 권두조, 김시진",133,6,4,65,62,0.512,13,1패,0.263,0.364,0.326,0.69,509,73,518,3.89,3.48,-1.003,-0.568,-0.217,,1,0,4
KIA,KA,KIA,KA,2012,선동열,133,6,5,62,65,0.488,16,1패,0.256,0.347,0.343,0.69,553,54,564,4.24,3.9,0.143,0.318,-0.087,,0,0,5
넥센,NS,넥센,NS,2012,"김시진, 김성갑",133,3,6,61,69,0.469,18.5,2패,0.243,0.37,0.325,0.695,549,102,551,4.14,3.83,0.039,0.067,-0.014,,0,0,6
LG,LG,LG,LG,2012,김기태,133,4,7,57,72,0.442,22,2승,0.261,0.354,0.332,0.686,544,59,580,4.36,4.02,-0.091,0.626,-0.359,,0,0,7
한화,HH,한화,HH,2012,한대화,133,3,8,53,77,0.408,26.5,1패,0.249,0.351,0.338,0.689,509,71,647,4.86,4.55,-1.003,1.917,-1.46,,0,0,8
삼성,SS,삼성,SS,2013,류중일,128,2,1,75,51,0.595,0,1패,0.283,0.416,0.359,0.775,669,113,545,4.26,3.98,1.036,-0.686,0.861,,1,1,1
LG,LG,LG,LG,2013,김기태,128,0,2,74,54,0.578,2,2승,0.282,0.386,0.355,0.741,616,59,510,3.98,3.72,0.296,-1.168,0.732,,1,0,2
넥센,NS,넥센,NS,2013,염경엽,128,2,3,72,54,0.571,3,1패,0.272,0.413,0.358,0.771,646,125,576,4.5,4.12,0.715,-0.259,0.487,,1,0,3
두산,DS,두산,DS,2013,김진욱,128,3,4,71,54,0.568,3.5,1패,0.289,0.42,0.37,0.79,699,95,625,4.88,4.57,1.454,0.416,0.519,,1,2,4
롯데,LT,롯데,LT,2013,김시진,128,4,5,66,58,0.532,8,2승,0.261,0.36,0.345,0.705,556,61,553,4.32,3.93,-0.541,-0.575,0.017,,0,0,5
SK,SK,SK,SK,2013,이만수,128,3,6,62,63,0.496,12.5,2패,0.265,0.406,0.346,0.752,588,124,571,4.46,4.16,-0.095,-0.327,0.116,,0,0,6
NC,NC,NC,NC,2013,김경문,128,4,7,52,72,0.419,22,1승,0.244,0.365,0.32,0.685,512,86,551,4.3,3.96,-1.155,-0.603,-0.276,,0,0,7
KIA,KA,KIA,KA,2013,선동열,128,3,8,51,74,0.408,23.5,3패,0.261,0.373,0.349,0.722,587,88,711,5.55,5.12,-0.109,1.601,-0.855,,0,0,8
한화,HH,한화,HH,2013,김응용,128,1,9,42,85,0.331,33.5,1승,0.259,0.348,0.343,0.691,480,47,711,5.55,5.31,-1.602,1.601,-1.601,,0,0,9
삼성,SS,삼성,SS,2014,류중일,128,3,1,78,47,0.624,0,1패,0.301,0.473,0.377,0.85,812,161,621,4.85,4.52,1.29,-1.11,1.2,,1,1,1
넥센,NS,넥센,NS,2014,염경엽,128,2,2,78,48,0.619,0.5,6승,0.298,0.509,0.382,0.891,841,199,716,5.59,5.25,1.695,-0.041,0.868,,1,2,2
NC,NC,NC,NC,2014,김경문,128,1,3,70,57,0.551,9,1패,0.282,0.447,0.353,0.8,737,143,608,4.75,4.29,0.242,-1.256,0.749,,1,0,3
LG,LG,LG,LG,2014,"김기태, 조계현, 양상문",128,2,4,62,64,0.492,16.5,3패,0.279,0.4,0.361,0.761,668,90,643,5.02,4.58,-0.722,-0.862,0.07,,1,0,4
SK,SK,SK,SK,2014,이만수,128,2,5,61,65,0.484,17.5,1패,0.291,0.434,0.361,0.795,735,115,760,5.94,5.51,0.214,0.454,-0.12,,0,0,5
두산,DS,두산,DS,2014,송일수,128,1,6,59,68,0.465,20,1승,0.293,0.431,0.366,0.797,687,108,733,5.73,5.43,-0.456,0.15,-0.303,,0,0,6
롯데,LT,롯데,LT,2014,김시진,128,1,7,58,69,0.457,21,1승,0.287,0.436,0.369,0.805,716,121,719,5.62,5.19,-0.051,-0.007,-0.022,,0,0,7
KIA,KA,KIA,KA,2014,선동열,128,0,8,54,74,0.422,25.5,2승,0.288,0.437,0.355,0.792,662,121,788,6.16,5.82,-0.806,0.769,-0.787,,0,0,8
한화,HH,한화,HH,2014,김응용,128,2,9,49,77,0.389,29.5,5패,0.283,0.415,0.359,0.774,619,104,889,6.95,6.35,-1.406,1.904,-1.655,,0,0,9
